distance,uptime,protocol,network,metric,mask,nexthop_ip,nexthop_if,type
1,,S,0.0.0.0,0,0,10.25.103.1,,
110,09:39:24,O,10.10.0.0,20,16,10.10.10.5,Ethernet0/0,E2
110,09:39:19,O,10.10.1.1,20,32,10.10.10.5,Ethernet0/0,E2
110,09:39:19,O,10.10.2.1,20,32,10.10.10.5,Ethernet0/0,E2
110,09:39:24,O,10.10.3.1,20,32,10.10.10.5,Ethernet0/0,E2
110,09:39:24,O,10.10.4.1,20,32,10.10.10.5,Ethernet0/0,E2
110,09:39:24,O,10.10.10.0,20,30,10.10.10.5,Ethernet0/0,
,,C,10.10.10.4,,30,,Ethernet0/0,
,,L,10.10.10.6,,32,,Ethernet0/0,
,,C,10.25.103.0,,24,,Ethernet0/3,
,,L,10.25.103.198,,32,,Ethernet0/3,
