distance,uptime,protocol,network,metric,mask,nexthop_ip,nexthop_if,type
1,,S,0.0.0.0,0,0,10.25.103.1,,
110,09:39:24,O,10.10.0.0,20,16,10.10.10.2,Ethernet0/1,E2
,,C,10.10.1.1,,32,,Loopback1,
,,C,10.10.2.1,,32,,Loopback2,
110,09:39:24,O,10.10.3.1,20,32,10.10.10.2,Ethernet0/1,E2
110,09:39:24,O,10.10.4.1,20,32,10.10.10.2,Ethernet0/1,E2
,,C,10.10.10.0,,30,,Ethernet0/1,
,,L,10.10.10.1,,32,,Ethernet0/1,
110,09:39:24,O,10.10.10.4,20,30,10.10.10.2,Ethernet0/1,
,,C,10.25.103.0,,24,,Ethernet0/3,
,,L,10.25.103.196,,32,,Ethernet0/3,
